Year,Onset,Retreat,MSDO,MSDE
1979,1979-05-06,1979-10-03,1979-06-20,1979-08-09
1980,1980-05-10,1980-10-27,1980-06-14,1980-09-02
1981,1981-05-16,1981-10-23,1981-06-30,1981-08-04
1982,1982-05-01,1982-11-02,1982-06-30,1982-09-03
1983,1983-05-21,1983-10-23,1983-07-20,1983-08-19
1984,1984-04-30,1984-09-27,1984-06-14,1984-08-18
1985,1985-05-16,1985-11-02,1985-07-25,1985-08-24
1986,1986-05-11,1986-11-02,1986-06-30,1986-07-30
1988,1988-05-20,1988-10-17,1988-06-24,1988-08-03
1989,1989-05-21,1989-10-13,1989-06-20,1989-08-24
1990,1990-05-11,1990-11-22,1990-06-30,1990-08-09
1991,1991-05-01,1991-11-02,1991-06-30,1991-08-29
1992,1992-05-10,1992-10-22,1992-07-04,1992-08-28
1993,1993-05-16,1993-10-13,1993-06-30,1993-07-30
1994,1994-05-01,1994-11-02,1994-06-10,1994-08-19
1995,1995-05-31,1995-10-08,1995-07-15,1995-08-09
1996,1996-04-25,1996-10-27,1996-07-29,1996-09-12
1997,1997-05-16,1997-11-22,1997-06-30,1997-08-29
1998,1998-05-11,1998-11-02,1998-07-05,1998-08-29
1999,1999-05-26,1999-10-28,1999-07-10,1999-08-24
2000,2000-04-30,2000-10-07,2000-06-09,2000-08-13
2001,2001-05-06,2001-10-23,2001-05-31,2001-08-09
2002,2002-05-06,2002-11-07,2002-06-15,2002-08-14
2003,2003-05-06,2003-11-12,2003-06-20,2003-08-19
2004,2004-04-20,2004-11-01,2004-06-24,2004-08-23
2005,2005-05-01,2005-10-08,2005-06-30,2005-08-29
2006,2006-05-01,2006-11-07,2006-07-05,2006-08-14
2007,2007-05-16,2007-10-18,2007-06-10,2007-07-30
2008,2008-05-10,2008-10-17,2008-07-09,2008-08-28
2009,2009-04-26,2009-11-02,2009-06-30,2009-09-08
2010,2010-05-11,2010-09-28,2010-06-25,2010-08-09
2011,2011-05-21,2011-10-13,2011-07-10,2011-08-19
2012,2012-04-30,2012-10-12,2012-06-14,2012-07-24
2013,2013-05-11,2013-11-07,2013-06-30,2013-08-04
2014,2014-04-21,2014-11-02,2014-06-10,2014-08-09
2015,2015-05-06,2015-11-17,2015-06-10,2015-08-24
2016,2016-05-20,2016-11-01,2016-06-14,2016-08-03
2017,2017-04-21,2017-10-23,2017-06-20,2017-09-08
2018,2018-04-26,2018-10-23,2018-06-20,2018-09-03
